colision_fecha,colision_calle,colision_cruce,colision_long,colision_lat,colision_tipoincidente,colision_tipoaccidentediverso,indiv_estadoalcoholico,indiv_estatus,indiv_Deceso
2014-12-25T02:27:00Z,AV. CONSTITUCION  ,AV. PINO SUAREZ,-100.320843,25.665871,ATROPELLO,ATROPELLO,0,1,0
2014-12-25T15:21:00Z,GARIBALDI,PADRE MIER,-100.317428,25.668909,ATROPELLO,ATROPELLO,0,1,0
2014-12-25T03:00:00Z,AV. LAZARO CARDENAS  ,AV. ALFONSO REYES,-100.30118,25.631718,CRUCERO,CRUCERO,0,5,0
2014-12-25T18:17:00Z,CIUDAD DE LORCA,AGUALEGUAS,-100.392593,25.744148,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-25T07:20:00Z,AV. CHURUBUSCO  ,VIA A TAMPICO,-100.268046,25.695435,ALCANCE,ALCANCE,0,0,0
2014-12-25T19:10:00Z,ESCOBEDO,PADRE MIER,-100.311718,25.667951,VEHICULO ESTACIONADO,VEHICULO ESTACIONADO,0,0,0
2014-12-25T13:50:00Z,AV. GARZA SADA  ,VILLA LAS FUENTES,-100.266234,25.611188,CRUCERO,CRUCERO,0,0,0
2014-12-25T01:30:00Z,AV. LINCOLN  ,AV. DE LOS ASTROS,-100.407406,25.763582,LATERAL,LATERAL,0,0,0
2014-12-25T01:10:00Z,AV. CONSTITUCION  ,AV. CHURUBUSCO,-100.268189,25.683002,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-25T04:20:00Z,ENRIQUE C LIVAS,TERRANOVA,-100.356429,25.694123,CRUCERO,CRUCERO,0,0,0
2014-12-25T03:05:00Z,ALFONSO REYES,LUIS MORA,-100.324891,25.697616,ATROPELLO,ATROPELLO,0,1,0
2014-12-25T14:30:00Z,CLAVEL,GRANADO,-100.279164,25.696089,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-26T04:20:00Z,AV. LAZARO CARDENAS  ,CERRO DE LA SILLA,-100.294085,25.626263,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-26T12:40:00Z,AV. MORONES PRIETO  ,BAJA CALIFORNIA,-100.308198,25.661416,LATERAL,LATERAL,0,0,0
2014-12-26T10:00:00Z,ANTONIO L RODRIGUEZ,PUENTE MIRAVALLE,-100.367827,25.669604,DIVERSO,DIVERSO/DERRAPE,0,1,0
2014-12-26T12:44:00Z,AV. GARZA SADA  ,CAMINO DE LOS ALAMOS,-100.268577,25.606643,LATERAL,LATERAL,0,0,0
2014-12-26T09:30:00Z,AV. AZTLAN  ,JULIO CAMELO,-100.361732,25.748435,LATERAL,LATERAL,0,0,0
2014-12-26T11:10:00Z,AV. GARZA SADA  ,SENDERO SUR,-100.276589,25.626927,LATERAL,LATERAL,0,0,0
2014-12-26T08:15:00Z,AV. REVOLUCION  ,PRIV LOS REMATES,-100.272393,25.628487,ALCANCE,ALCANCE,0,0,0
2014-12-26T09:00:00Z,NOGAL,ABEDUL,-100.377665,25.729093,ALCANCE,ALCANCE,0,0,0
2014-12-26T08:20:00Z,AV. GONZALITOS  ,AV. MORONES PRIETO,-100.353401,25.670532,LATERAL,LATERAL,0,0,0
2014-12-26T10:25:00Z,CAMINO REAL,NICOLAS DE AVELLANEDA,-100.358243,25.760122,ALCANCE,ALCANCE,0,0,0
