colision_fecha,colision_calle,colision_cruce,colision_long,colision_lat,colision_tipoincidente,colision_tipoaccidentediverso,indiv_estadoalcoholico,indiv_estatus,indiv_Deceso
2014-12-21T14:36:00Z,AV. COLON,GALEANA,-100.311071,25.685447,CRUCERO,CRUCERO,0,0,0
2014-12-21T15:43:00Z,AV. PASEO DE LOS LEONES  ,TRIUNFADORES,-100.395222,25.729503,ALCANCE,ALCANCE,0,0,0
2014-12-21T17:00:00Z,AV. CONSTITUCION  ,AV. FELIX U GOMEZ,-100.299118,25.668704,LATERAL,LATERAL,0,0,0
2014-12-21T18:00:00Z,AV. CONSTITUCION  ,AV. FUNDIDORA,-100.288398,25.673341,ALCANCE,ALCANCE,0,0,0
2014-12-21T19:13:00Z,AV. PASEO DE LOS LEONES  ,DE LA MONTAÑA,-100.375216,25.710445,LATERAL,LATERAL,0,0,0
2014-12-21T16:54:00Z,AV. LAZARO CARDENAS  ,MINA,-100.303887,25.633144,REVERSA,REVERSA,0,0,0
2014-12-21T20:00:00Z,AV. FUNDIDORA,ADOLFO PRIETO,-100.29008,25.677031,LATERAL,LATERAL,0,0,0
2014-12-21T15:22:00Z,AV. MADERO  ,SAN ANGEL,-100.266095,25.686273,LATERAL,LATERAL,0,0,0
2014-12-21T14:56:00Z,AV. CONSTITUCION  ,AV. FELIX U GOMEZ,-100.298688,25.669036,ALCANCE,ALCANCE,0,0,0
2014-12-21T20:02:00Z,AV. CONSTITUCION  ,AV. FUNDIDORA,-100.288605,25.673139,LATERAL,LATERAL,0,0,0
